,Clause,mainVerb,mainReferent,Gold,predictions
0,"Blackjack, also called twenty-one,",known,Blackjack,DYNAMIC,['CANNOT_DECIDE']
1,is the most widely played casino banking game in the world.,is,Blackjack,STATIVE,['STATIVE']
2,"Blackjack plays as a comparing card game between a player and dealer,",is,Blackjack,DYNAMIC,['STATIVE']
3,meaning,meaning,game,STATIVE,['CANNOT_DECIDE']
4,that players compete against the dealer but not against any other players.,compete,players,DYNAMIC,['STATIVE']
5,It contains one or more decks of 52 cards.,played,It,STATIVE,['STATIVE']
6,"The game is won if you ""beat the dealer",is,object,DYNAMIC,['DYNAMIC']
7,"'', which can be done in a number of ways:",done,dealer,DYNAMIC,['STATIVE']
8,* Get 21 points on the player's first two cards,Get,object,CANNOT_DECIDE,['STATIVE']
9,"(called a blackjack), without a dealer blackjack;",called,Get,STATIVE,['STATIVE']
10,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,object,CANNOT_DECIDE,['CANNOT_DECIDE']
11,* Let the dealer,Let,object,CANNOT_DECIDE,['CANNOT_DECIDE']
12,draw additional cards,draw,dealer,CANNOT_DECIDE,['CANNOT_DECIDE']
13,until his or her hand exceeds 21.,exceeds,hand,DYNAMIC,['DYNAMIC']
14,The player or players know that they are dealt an initial two-card hand,dealt,players,STATIVE,['DYNAMIC']
15,and add together the value of their cards.,add,player,DYNAMIC,['CANNOT_DECIDE']
16,"Face cards (kings, queens, and jacks)",,,CANNOT_DECIDE,['CANNOT_DECIDE']
17,are counted as ten points.,counted,cards,DYNAMIC,['DYNAMIC']
18,A player and the dealer want his or her own ace as 1 point or 11 points.,count,dealer,STATIVE,['STATIVE']
19,All other cards appear as the numeric value,counted,cards,STATIVE,['STATIVE']
20,shown on the card.,shown,value,STATIVE,['STATIVE']
21,"After receiving their initial two cards, players may pursue the option of getting a ""hit"",",have,players,DYNAMIC,['DYNAMIC']
22,or taking an additional card.,taking,option,DYNAMIC,['DYNAMIC']
23,"In a given round,",given,,CANNOT_DECIDE,['DYNAMIC']
24,the player or the dealer wins by having a score of 21 or by having the highest score,wins,dealer,DYNAMIC,['DYNAMIC']
25,that is less than 21.,is,score,STATIVE,['STATIVE']
27,"(called ""busting""",called,,STATIVE,['CANNOT_DECIDE']
28,"or ""going bust"") results in a loss.",results,Scoring,DYNAMIC,['DYNAMIC']
29,A player having any final score equal to or less than 21 means that they win if the dealer busts.,win,player,STATIVE,['DYNAMIC']
30,If a player hides an ace,holds,player,DYNAMIC,['DYNAMIC']
31,"valued as 11, the hand is called ""soft"",",called,hand,STATIVE,['STATIVE']
32,meaning,meaning,,STATIVE,['CANNOT_DECIDE']
33,that the player cannot go bust by taking an additional card;,go,player,DYNAMIC,['DYNAMIC']
34,11 plus the value of any other card will always add up to less than or equal to 21.,be,11,DYNAMIC,['STATIVE']
35,"Otherwise, the hand is treated as ""hard"".",is,hand,DYNAMIC,['STATIVE']
36,The dealer is asked to take hits,has,dealer,DYNAMIC,['DYNAMIC']
37,until his or her cards total 17 or more points.,,,STATIVE,['DYNAMIC']
38,"(In some casinos, the dealer also can have hits on a ""soft"" 17â€”e.g., an initial ace and six.)",hits,dealer,STATIVE,['DYNAMIC']
39,It is agreed that players win,win,Players,STATIVE,['DYNAMIC']
40,if they do not bust,bust,they,DYNAMIC,['DYNAMIC']
41,and have a total,have,they,STATIVE,['STATIVE']
42,that is higher than the dealer's.,is,total,STATIVE,['STATIVE']
43,It is agreed that the dealer loses,loses,dealer,STATIVE,['DYNAMIC']
44,if he or she busts or has a lesser hand than the player,busts,she,DYNAMIC,['DYNAMIC']
45,who has not busted.,busted,player,DYNAMIC,['DYNAMIC']
46,"If the player and dealer receive the same point total,",have,dealer,DYNAMIC,['DYNAMIC']
47,"this is called a ""push"",",called,this,STATIVE,['STATIVE']
48,and the player typically does not win or lose money on that hand.,win,this,DYNAMIC,['DYNAMIC']
49,Many rule variations of blackjack are played.,exist,variations,DYNAMIC,['DYNAMIC']
50,"Since the 1960s, blackjack has functioned as a high-profile target of advantage players, particularly card counters,",been,blackjack,DYNAMIC,['DYNAMIC']
51,who track the profile of cards,track,target,DYNAMIC,['STATIVE']
52,that have been dealt,dealt,cards,DYNAMIC,['DYNAMIC']
53,and adapt their wagers and playing strategies accordingly.,adapt,target,DYNAMIC,['DYNAMIC']
54,"Other casino games were inspired by blackjack, including Spanish 21 and pontoon.",include,games,DYNAMIC,['DYNAMIC']
55,The recreational British card game of black jack functions as a shedding-type game and unrelated to the subject of this article.,is,game,DYNAMIC,['STATIVE']
56,==History==,=,twenty-one,CANNOT_DECIDE,['CANNOT_DECIDE']
57,"Twenty-one, a game of unknown origin, became regarded as a predecessor to Blackjack.",was,,DYNAMIC,['DYNAMIC']
58,"The first written reference exists in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.",found,reference,DYNAMIC,['STATIVE']
59,"Cervantes famously gambled,",was,Cervantes,DYNAMIC,['DYNAMIC']
60,"and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats",are,characters,STATIVE,['STATIVE']
61,working in Seville.,working,cheats,DYNAMIC,['STATIVE']
62,They are proficient at cheating at ventiuna,are,They,DYNAMIC,['STATIVE']
63,"(Spanish for twenty-one), and state",state,They,STATIVE,['STATIVE']
64,that the object of the game is to reach 21 points,is,object,STATIVE,['DYNAMIC']
65,without going over,going,object,CANNOT_DECIDE,['STATIVE']
66,and that the ace values 1 or 11.,values,object,STATIVE,['STATIVE']
67,"The game contains the Spanish baraja deck,",played,game,STATIVE,['STATIVE']
68,"which lacks eights, nines and tens.",lacks,deck,STATIVE,['STATIVE']
69,"This short story first existed between 1601 and 1602,",written,story,STATIVE,['DYNAMIC']
70,implying,implying,,STATIVE,['CANNOT_DECIDE']
71,that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,played,ventiuna,DYNAMIC,['DYNAMIC']
72,Later references to this game also appear in France and Spain.,found,references,DYNAMIC,['DYNAMIC']
73,"When twenty-one was introduced in the United States, players loved flocking to gambling houses due to the bonus payouts they were offered there.",offered,houses,STATIVE,['DYNAMIC']
74,One such bonus became a ten-to-one payout,was,bonus,DYNAMIC,['DYNAMIC']
75,if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,consisted,hand,STATIVE,['DYNAMIC']
76,"This hand was christened a ""blackjack""",called,hand,DYNAMIC,['STATIVE']
77,"and the name stuck to the game,",stuck,name,DYNAMIC,['DYNAMIC']
78,even though the ten-to-one bonus was soon withdrawn.,withdrawn,bonus,DYNAMIC,['DYNAMIC']
79,"In the modern game, any hand of an ace plus a ten or face card, regardless of suits or colours, operates as the eponymous blackjack.",refers,blackjack,DYNAMIC,['STATIVE']
80,==Rules of play at casinos==,,,CANNOT_DECIDE,['CANNOT_DECIDE']
81,"At a casino blackjack table, the dealer agrees to face five to seven playing positions from behind a semicircular table.",faces,dealer,STATIVE,['DYNAMIC']
82,The shuffling involves one to eight standard 52-card decks.,shuffled,decks,STATIVE,['DYNAMIC']
83,"At the beginning of each round, up to three players need to place their bets in the ""betting box"" at each position in play.",place,players,STATIVE,['DYNAMIC']
84,"The player whose bet is at the front of the betting box has control over the position,",deemed,player,DYNAMIC,['DYNAMIC']
85,and the dealer will consult the controlling player for playing decisions regarding the hand;,consult,player,DYNAMIC,['DYNAMIC']
86,"the other players of that box are said to ""play behind"".",said,players,STATIVE,['DYNAMIC']
87,Any player enjoys the luxury to control or bet in as many boxes,allowed,player,DYNAMIC,['DYNAMIC']
88,"as desired at a single table,",desired,,CANNOT_DECIDE,['DYNAMIC']
89,but it is prohibited,prohibited,player,STATIVE,['STATIVE']
90,for an individual to play on more than one table at a time,play,individual,CANNOT_DECIDE,['CANNOT_DECIDE']
91,or to place multiple bets within a single box.,place,individual,CANNOT_DECIDE,['DYNAMIC']
92,"In many U.S. casinos, however, players dislike only being allowed to playing two or three positions at a table",limited,players,DYNAMIC,['STATIVE']
93,and often only one person is allowed to bet on each position.,allowed,players,STATIVE,['DYNAMIC']
94,The dealer knows to deal cards from his/her left,left,cards,STATIVE,['DYNAMIC']
95,"(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").",referred,position,DYNAMIC,['STATIVE']
96,Each box possesses an initial hand of two cards visible to the people,dealt,box,STATIVE,['STATIVE']
97,"playing on it, and often to any other players.",playing,people,STATIVE,['DYNAMIC']
98,"The dealer's hand has its first card face up,",receives,hand,STATIVE,['STATIVE']
99,"and in ""hole card"" games immediately receives its second card face down (the hole card),",receives,hand,DYNAMIC,['STATIVE']
100,which the dealer peeks at,peeks,dealer,DYNAMIC,['DYNAMIC']
101,but does not reveal,reveal,games,DYNAMIC,['DYNAMIC']
102,unless it makes the dealer's hand a blackjack.,makes,it,DYNAMIC,['STATIVE']
103,Locations of hole card games usually resemble tables with a small mirror or electronic sensor,played,games,STATIVE,['STATIVE']
104,that is used to peek securely at the hole card.,used,mirror,DYNAMIC,['DYNAMIC']
105,"In European casinos, ""no hole card"" games are often played;",are,games,DYNAMIC,['DYNAMIC']
106,the dealer's second card is neither drawn nor consulted,drawn,card,DYNAMIC,['DYNAMIC']
107,until the players have all played their hands.,played,players,DYNAMIC,['DYNAMIC']
108,"Cards appear either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.",dealt,Cards,STATIVE,['DYNAMIC']
109,"Single cards involve dealing to each wagered-on position clockwise from the dealer's left,",dealt,cards,STATIVE,['DYNAMIC']
110,"followed by a single card to the dealer,",followed,position,DYNAMIC,['CANNOT_DECIDE']
111,followed by an additional card to each of the positions in play.,followed,position,DYNAMIC,['DYNAMIC']
112,The players' initial cards need to consistently be dealt either face up,dealt,cards,STATIVE,['DYNAMIC']
113,or face down (more common in single-deck games).,face,,CANNOT_DECIDE,['DYNAMIC']
