Original Clause,Clause,mainVerb,mainReferent,Contrast,predictions,Contrast,Contrast_Labels
"Blackjack, also known as twenty-one,","Blackjack, also called twenty-one,",known,Blackjack,DYNAMIC,['CANNOT_DECIDE'],y,STATIVE
is the most widely played casino banking game in the world.,is the most widely played casino banking game in the world.,is,Blackjack,STATIVE,['STATIVE'],,DYNAMIC
"Blackjack is a comparing card game between a player and dealer,","Blackjack plays as a comparing card game between a player and dealer,",is,Blackjack,DYNAMIC,['STATIVE'],y,STATIVE
meaning,meaning,meaning,game,STATIVE,['CANNOT_DECIDE'],,DYNAMIC
that players compete against the dealer but not against any other players.,that players compete against the dealer but not against any other players.,compete,players,DYNAMIC,['STATIVE'],,STATIVE
It is played with one or more decks of 52 cards.,It contains one or more decks of 52 cards.,played,It,STATIVE,['STATIVE'],y,DYNAMIC
"The object of the game is to ""beat the dealer","The game is won if you ""beat the dealer",is,object,DYNAMIC,['DYNAMIC'],y,STATIVE
"'', which can be done in a number of ways:","'', which can be done in a number of ways:",done,dealer,DYNAMIC,['STATIVE'],,STATIVE
* Get 21 points on the player's first two cards,* Get 21 points on the player's first two cards,Get,object,CANNOT_DECIDE,['STATIVE'],,CANNOT_DECIDE
"(called a blackjack), without a dealer blackjack;","(called a blackjack), without a dealer blackjack;",called,Get,STATIVE,['STATIVE'],,DYNAMIC
* Reach a final score higher than the dealer without exceeding 21; or,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
* Let the dealer,* Let the dealer,Let,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
draw additional cards,draw additional cards,draw,dealer,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
until his or her hand exceeds 21.,until his or her hand exceeds 21.,exceeds,hand,DYNAMIC,['DYNAMIC'],,STATIVE
The player or players are dealt an initial two-card hand,The player or players know that they are dealt an initial two-card hand,dealt,players,STATIVE,['DYNAMIC'],y,DYNAMIC
and add together the value of their cards.,and add together the value of their cards.,add,player,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
"Face cards (kings, queens, and jacks)","Face cards (kings, queens, and jacks)",,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
are counted as ten points.,are counted as ten points.,counted,cards,DYNAMIC,['DYNAMIC'],,STATIVE
A player and the dealer can count his or her own ace as 1 point or 11 points.,A player and the dealer want his or her own ace as 1 point or 11 points.,count,dealer,STATIVE,['STATIVE'],y,DYNAMIC
All other cards are counted as the numeric value,All other cards appear as the numeric value,counted,cards,STATIVE,['STATIVE'],y,DYNAMIC
shown on the card.,shown on the card.,shown,value,STATIVE,['STATIVE'],,DYNAMIC
"After receiving their initial two cards, players have the option of getting a ""hit"",","After receiving their initial two cards, players may pursue the option of getting a ""hit"",",have,players,DYNAMIC,['DYNAMIC'],y,STATIVE
or taking an additional card.,or taking an additional card.,taking,option,DYNAMIC,['DYNAMIC'],,STATIVE
"In a given round,","In a given round,",given,,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE
the player or the dealer wins by having a score of 21 or by having the highest score,the player or the dealer wins by having a score of 21 or by having the highest score,wins,dealer,DYNAMIC,['DYNAMIC'],,STATIVE
that is less than 21.,that is less than 21.,is,score,STATIVE,['STATIVE'],,DYNAMIC
Scoring higher than 21,,,,,,,DYNAMIC
"(called ""busting""","(called ""busting""",called,,STATIVE,['CANNOT_DECIDE'],,STATIVE
"or ""going bust"") results in a loss.","or ""going bust"") results in a loss.",results,Scoring,DYNAMIC,['DYNAMIC'],y,DYNAMIC
A player may win by having any final score equal to or less than 21 if the dealer busts.,A player having any final score equal to or less than 21 means that they win if the dealer busts.,win,player,STATIVE,['DYNAMIC'],y,STATIVE
If a player holds an ace,If a player hides an ace,holds,player,DYNAMIC,['DYNAMIC'],,DYNAMIC
"valued as 11, the hand is called ""soft"",","valued as 11, the hand is called ""soft"",",called,hand,STATIVE,['STATIVE'],,DYNAMIC
meaning,meaning,meaning,,STATIVE,['CANNOT_DECIDE'],,STATIVE
that the player cannot go bust by taking an additional card;,that the player cannot go bust by taking an additional card;,go,player,DYNAMIC,['DYNAMIC'],,STATIVE
11 plus the value of any other card will always be less than or equal to 21.,11 plus the value of any other card will always add up to less than or equal to 21.,be,11,DYNAMIC,['STATIVE'],y,STATIVE
"Otherwise, the hand is ""hard"".","Otherwise, the hand is treated as ""hard"".",is,hand,DYNAMIC,['STATIVE'],y,STATIVE
The dealer has to take hits,The dealer is asked to take hits,has,dealer,DYNAMIC,['DYNAMIC'],,DYNAMIC
until his or her cards total 17 or more points.,until his or her cards total 17 or more points.,,,STATIVE,['DYNAMIC'],,DYNAMIC
"(In some casinos, the dealer also hits on a ""soft"" 17e.g., an initial ace and six.)","(In some casinos, the dealer also can have hits on a ""soft"" 17â€”e.g., an initial ace and six.)",hits,dealer,STATIVE,['DYNAMIC'],y,DYNAMIC
Players win,It is agreed that players win,win,Players,STATIVE,['DYNAMIC'],,STATIVE
if they do not bust,if they do not bust,bust,they,DYNAMIC,['DYNAMIC'],,DYNAMIC
and have a total,and have a total,have,they,STATIVE,['STATIVE'],,DYNAMIC
that is higher than the dealer's.,that is higher than the dealer's.,is,total,STATIVE,['STATIVE'],y,DYNAMIC
The dealer loses,It is agreed that the dealer loses,loses,dealer,STATIVE,['DYNAMIC'],,STATIVE
if he or she busts or has a lesser hand than the player,if he or she busts or has a lesser hand than the player,busts,she,DYNAMIC,['DYNAMIC'],,STATIVE
who has not busted.,who has not busted.,busted,player,DYNAMIC,['DYNAMIC'],y,STATIVE
"If the player and dealer have the same point total,","If the player and dealer receive the same point total,",have,dealer,DYNAMIC,['DYNAMIC'],,DYNAMIC
"this is called a ""push"",","this is called a ""push"",",called,this,STATIVE,['STATIVE'],,STATIVE
and the player typically does not win or lose money on that hand.,and the player typically does not win or lose money on that hand.,win,this,DYNAMIC,['DYNAMIC'],y,STATIVE
Many rule variations of blackjack exist.,Many rule variations of blackjack are played.,exist,variations,DYNAMIC,['DYNAMIC'],y,STATIVE
"Since the 1960s, blackjack has been a high-profile target of advantage players, particularly card counters,","Since the 1960s, blackjack has functioned as a high-profile target of advantage players, particularly card counters,",been,blackjack,DYNAMIC,['DYNAMIC'],,STATIVE
who track the profile of cards,who track the profile of cards,track,target,DYNAMIC,['STATIVE'],,STATIVE
that have been dealt,that have been dealt,dealt,cards,DYNAMIC,['DYNAMIC'],,STATIVE
and adapt their wagers and playing strategies accordingly.,and adapt their wagers and playing strategies accordingly.,adapt,target,DYNAMIC,['DYNAMIC'],y,STATIVE
Other casino games inspired by blackjack include Spanish 21 and pontoon.,"Other casino games were inspired by blackjack, including Spanish 21 and pontoon.",include,games,DYNAMIC,['DYNAMIC'],y,STATIVE
The recreational British card game of black jack is a shedding-type game and unrelated to the subject of this article.,The recreational British card game of black jack functions as a shedding-type game and unrelated to the subject of this article.,is,game,DYNAMIC,['STATIVE'],,CANNOT_DECIDE
==History==,==History==,=,twenty-one,CANNOT_DECIDE,['CANNOT_DECIDE'],y,STATIVE
"Blackjack's precursor was twenty-one, a game of unknown origin.","Twenty-one, a game of unknown origin, became regarded as a predecessor to Blackjack.",was,,DYNAMIC,['DYNAMIC'],y,STATIVE
"The first written reference is found in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.","The first written reference exists in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.",found,reference,DYNAMIC,['STATIVE'],y,STATIVE
"Cervantes was a gambler,","Cervantes famously gambled,",was,Cervantes,DYNAMIC,['DYNAMIC'],,DYNAMIC
"and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats","and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats",are,characters,STATIVE,['STATIVE'],,STATIVE
working in Seville.,working in Seville.,working,cheats,DYNAMIC,['STATIVE'],y,STATIVE
They are proficient at cheating at ventiuna,They are proficient at cheating at ventiuna,are,They,DYNAMIC,['STATIVE'],,DYNAMIC
"(Spanish for twenty-one), and state","(Spanish for twenty-one), and state",state,They,STATIVE,['STATIVE'],,DYNAMIC
that the object of the game is to reach 21 points,that the object of the game is to reach 21 points,is,object,STATIVE,['DYNAMIC'],,CANNOT_DECIDE
without going over,without going over,going,object,CANNOT_DECIDE,['STATIVE'],,DYNAMIC
and that the ace values 1 or 11.,and that the ace values 1 or 11.,values,object,STATIVE,['STATIVE'],y,DYNAMIC
"The game is played with the Spanish baraja deck,","The game contains the Spanish baraja deck,",played,game,STATIVE,['STATIVE'],,DYNAMIC
"which lacks eights, nines and tens.","which lacks eights, nines and tens.",lacks,deck,STATIVE,['STATIVE'],y,DYNAMIC
"This short story was written between 1601 and 1602,","This short story first existed between 1601 and 1602,",written,story,STATIVE,['DYNAMIC'],,DYNAMIC
implying,implying,implying,,STATIVE,['CANNOT_DECIDE'],,STATIVE
that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,played,ventiuna,DYNAMIC,['DYNAMIC'],y,STATIVE
Later references to this game are found in France and Spain.,Later references to this game also appear in France and Spain.,found,references,DYNAMIC,['DYNAMIC'],y,DYNAMIC
"When twenty-one was introduced in the United States, gambling houses offered bonus payouts to stimulate players' interest.","When twenty-one was introduced in the United States, players loved flocking to gambling houses due to the bonus payouts they were offered there.",offered,houses,STATIVE,['DYNAMIC'],y,STATIVE
One such bonus was a ten-to-one payout,One such bonus became a ten-to-one payout,was,bonus,DYNAMIC,['DYNAMIC'],,DYNAMIC
if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,consisted,hand,STATIVE,['DYNAMIC'],y,STATIVE
"This hand was called a ""blackjack""","This hand was christened a ""blackjack""",called,hand,DYNAMIC,['STATIVE'],,STATIVE
"and the name stuck to the game,","and the name stuck to the game,",stuck,name,DYNAMIC,['DYNAMIC'],,STATIVE
even though the ten-to-one bonus was soon withdrawn.,even though the ten-to-one bonus was soon withdrawn.,withdrawn,bonus,DYNAMIC,['DYNAMIC'],y,STATIVE
"In the modern game, a blackjack refers to any hand of an ace plus a ten or face card, regardless of suits or colours.","In the modern game, any hand of an ace plus a ten or face card, regardless of suits or colours, operates as the eponymous blackjack.",refers,blackjack,DYNAMIC,['STATIVE'],,CANNOT_DECIDE
==Rules of play at casinos==,==Rules of play at casinos==,,,CANNOT_DECIDE,['CANNOT_DECIDE'],y,DYNAMIC
"At a casino blackjack table, the dealer faces five to seven playing positions from behind a semicircular table.","At a casino blackjack table, the dealer agrees to face five to seven playing positions from behind a semicircular table.",faces,dealer,STATIVE,['DYNAMIC'],y,DYNAMIC
Between one and eight standard 52-card decks are shuffled together.,The shuffling involves one to eight standard 52-card decks.,shuffled,decks,STATIVE,['DYNAMIC'],y,DYNAMIC
"At the beginning of each round, up to three players place their bets in the ""betting box"" at each position in play.","At the beginning of each round, up to three players need to place their bets in the ""betting box"" at each position in play.",place,players,STATIVE,['DYNAMIC'],y,STATIVE
"The player whose bet is at the front of the betting box is deemed to have control over the position,","The player whose bet is at the front of the betting box has control over the position,",deemed,player,DYNAMIC,['DYNAMIC'],,STATIVE
and the dealer will consult the controlling player for playing decisions regarding the hand;,and the dealer will consult the controlling player for playing decisions regarding the hand;,consult,player,DYNAMIC,['DYNAMIC'],,DYNAMIC
"the other players of that box are said to ""play behind"".","the other players of that box are said to ""play behind"".",said,players,STATIVE,['DYNAMIC'],y,STATIVE
Any player is usually allowed to control or bet in as many boxes,Any player enjoys the luxury to control or bet in as many boxes,allowed,player,DYNAMIC,['DYNAMIC'],,CANNOT_DECIDE
"as desired at a single table,","as desired at a single table,",desired,,CANNOT_DECIDE,['DYNAMIC'],,DYNAMIC
but it is prohibited,but it is prohibited,prohibited,player,STATIVE,['STATIVE'],,CANNOT_DECIDE
for an individual to play on more than one table at a time,for an individual to play on more than one table at a time,play,individual,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
or to place multiple bets within a single box.,or to place multiple bets within a single box.,place,individual,CANNOT_DECIDE,['DYNAMIC'],y,STATIVE
"In many U.S. casinos, however, players are limited to playing two or three positions at a table","In many U.S. casinos, however, players dislike only being allowed to playing two or three positions at a table",limited,players,DYNAMIC,['STATIVE'],,DYNAMIC
and often only one person is allowed to bet on each position.,and often only one person is allowed to bet on each position.,allowed,players,STATIVE,['DYNAMIC'],y,DYNAMIC
The dealer deals cards from his/her left,The dealer knows to deal cards from his/her left,left,cards,STATIVE,['DYNAMIC'],,STATIVE
"(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").","(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").",referred,position,DYNAMIC,['STATIVE'],y,DYNAMIC
Each box is dealt an initial hand of two cards visible to the people,Each box possesses an initial hand of two cards visible to the people,dealt,box,STATIVE,['STATIVE'],,DYNAMIC
"playing on it, and often to any other players.","playing on it, and often to any other players.",playing,people,STATIVE,['DYNAMIC'],y,DYNAMIC
"The dealer's hand receives its first card face up,","The dealer's hand has its first card face up,",receives,hand,STATIVE,['STATIVE'],,STATIVE
"and in ""hole card"" games immediately receives its second card face down (the hole card),","and in ""hole card"" games immediately receives its second card face down (the hole card),",receives,hand,DYNAMIC,['STATIVE'],,STATIVE
which the dealer peeks at,which the dealer peeks at,peeks,dealer,DYNAMIC,['DYNAMIC'],,STATIVE
but does not reveal,but does not reveal,reveal,games,DYNAMIC,['DYNAMIC'],,STATIVE
unless it makes the dealer's hand a blackjack.,unless it makes the dealer's hand a blackjack.,makes,it,DYNAMIC,['STATIVE'],y,DYNAMIC
Hole card games are sometimes played on tables with a small mirror or electronic sensor,Locations of hole card games usually resemble tables with a small mirror or electronic sensor,played,games,STATIVE,['STATIVE'],,STATIVE
that is used to peek securely at the hole card.,that is used to peek securely at the hole card.,used,mirror,DYNAMIC,['DYNAMIC'],y,STATIVE
"In European casinos, ""no hole card"" games are prevalent;","In European casinos, ""no hole card"" games are often played;",are,games,DYNAMIC,['DYNAMIC'],,STATIVE
the dealer's second card is neither drawn nor consulted,the dealer's second card is neither drawn nor consulted,drawn,card,DYNAMIC,['DYNAMIC'],,STATIVE
until the players have all played their hands.,until the players have all played their hands.,played,players,DYNAMIC,['DYNAMIC'],y,DYNAMIC
"Cards are dealt either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.","Cards appear either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.",dealt,Cards,STATIVE,['DYNAMIC'],y,DYNAMIC
"Single cards are dealt to each wagered-on position clockwise from the dealer's left,","Single cards involve dealing to each wagered-on position clockwise from the dealer's left,",dealt,cards,STATIVE,['DYNAMIC'],,STATIVE
"followed by a single card to the dealer,","followed by a single card to the dealer,",followed,position,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
followed by an additional card to each of the positions in play.,followed by an additional card to each of the positions in play.,followed,position,DYNAMIC,['DYNAMIC'],y,DYNAMIC
The players' initial cards may be dealt face up,The players' initial cards need to consistently be dealt either face up,dealt,cards,STATIVE,['DYNAMIC'],,CANNOT_DECIDE
or face down (more common in single-deck games).,or face down (more common in single-deck games).,face,,CANNOT_DECIDE,['DYNAMIC'],,
,,,,,,,
Green Contrast Clauses,19,0.452380952,,,,,
Red Gontrast Clauses,23,,,,,,